description,Price,Rating,reviewCount,url
LEVEN DDR4 8GB (8GB×1) 2133MHz PC4-17000 CL15 Unbuffered Non-ECC 1.2V UDIMM 288 Pin PC Computer Desktop Memory Module Ram Upgrade- Lares(JR4UL2133172408-8M),$38.99,4.4 out of 5 stars,464,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A063753964YGV3LSQXY3&url=%2FLEVEN-PC4-17000-Unbuffered-Computer-JR4UL2133172408-8M%2Fdp%2FB08XLN5J4Q%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DRAM%26qid%3D1625129169%26sr%3D8-1-spons%26psc%3D1&qualifier=1625129169&id=1989669066751247&widgetName=sp_atf
LEVEN SINBA 8GB KIT (4GBx2) DDR4 3000MHz PC4-24000 288-Pin U-DIMM CL16 XMP2.0 Overclocking Gaming RAM Desktop Memory Module- Gray (JROC4U3000172408G-4Mx2),$40.99,4.6 out of 5 stars,442,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A06363351E63CHIH6KLZJ&url=%2FLEVEN-DDR4-3000MHz-PC4-24000-Overclocking-JROC4U3000172408G-4Mx2%2Fdp%2FB08DFX66RK%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DRAM%26qid%3D1625129169%26sr%3D8-2-spons%26psc%3D1&qualifier=1625129169&id=1989669066751247&widgetName=sp_atf
Crucial Ballistix 3200 MHz DDR4 DRAM Desktop Gaming Memory Kit 16GB (8GBx2) CL16 BL2K8G32C16U4B (Black),$87.99,4.8 out of 5 stars,"14,166",https://www.amazon.com/Crucial-Ballistix-Desktop-Gaming-BL2K8G32C16U4B/dp/B083TRRT16/ref=sr_1_3?dchild=1&keywords=RAM&qid=1625129169&sr=8-3
Corsair Vengeance RGB PRO 16GB (2x8GB) DDR4 3200MHz C16 LED Desktop Memory - Black,$109.99,4.9 out of 5 stars,"26,860",https://www.amazon.com/CORSAIR-Vengeance-3200MHz-Desktop-Memory/dp/B07D1XCKWW/ref=sr_1_4?dchild=1&keywords=RAM&qid=1625129169&sr=8-4
TEAMGROUP T-Force Delta RGB DDR4 32GB (2x16GB) 3200MHz (PC4-25600) CL16 Desktop Memory Module Ram TF4D432G3200HC16FDC01 - White,$164.99,4.8 out of 5 stars,"4,555",https://www.amazon.com/TEAMGROUP-T-Force-3200MHz-PC4-25600-TF4D432G3200HC16FDC01/dp/B08PV1BT5W/ref=sr_1_5?dchild=1&keywords=RAM&qid=1625129169&sr=8-5
TEAMGROUP T-Force Dark Z 32GB Kit (2x16GB) DDR4 Dram 3600MHz (PC4-28800) CL16 288-Pin Desktop Memory Module Ram (Gray) - TDZGD432G3600HC18JDC01,$166.99,4.7 out of 5 stars,"1,587",https://www.amazon.com/TEAMGROUP-T-Force-Dark-3600MHz-PC4-28800/dp/B08DRSX3NY/ref=sr_1_7?dchild=1&keywords=RAM&qid=1625129169&sr=8-7
Corsair Vengeance RGB Pro 16GB (2x8GB) DDR4 3200MHz C16 LED Desktop Memory - White,$104.99,4.9 out of 5 stars,"26,860",https://www.amazon.com/CORSAIR-Vengeance-3200MHz-Desktop-Memory/dp/B07D5SN1ZK/ref=sr_1_8?dchild=1&keywords=RAM&qid=1625129169&sr=8-8
Rams,$4.99,4.3 out of 5 stars,2021,https://www.amazon.com/Rams-Sam-Neill/dp/B08SWCRJLC/ref=sr_1_9?dchild=1&keywords=RAM&qid=1625129169&sr=8-9
G.Skill Trident Z NEO Series 32GB (2 x 16GB) 288-Pin SDRAM DDR4 4000 (PC4-32000) CL18-22-22-42 1.40V Dual Channel Desktop Memory Model F4-4000C18D-32GTZN,$229.98,4.4 out of 5 stars,27,https://www.amazon.com/G-Skill-Trident-PC4-32000-CL18-22-22-42-F4-4000C18D-32GTZN/dp/B08TQH3JDQ/ref=sr_1_10?dchild=1&keywords=RAM&qid=1625129169&sr=8-10
TEAMGROUP T-Force Vulcan Z DDR4 16GB Kit (2x8GB) 3000MHz (PC4-24000) CL16 Desktop Memory Module Ram (Red) - TLZRD416G3000HC16CDC01,$74.99,4.8 out of 5 stars,"6,317",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00615993SN0HDNTZEMSW&url=%2FTEAMGROUP-T-Force-Vulcan-3000MHz-Desktop%2Fdp%2FB07QNKJVR8%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3DRAM%26qid%3D1625129169%26sr%3D8-11-spons%26psc%3D1&qualifier=1625129169&id=1989669066751247&widgetName=sp_mtf
TEAMGROUP T-Force Night Hawk RGB 3200MHz 16GB Kit (2x8GB) CL16 DDR4 SDRAM (PC4-25600) Desktop Memory Module Ram TF2D416G3200HC16CDC01 - White,$99.99,4.7 out of 5 stars,427,https://www.amazon.com/Team-T-Force-PC4-25600-3200MHz-TF2D416G3200HC16CDC0/dp/B0733B98Q1/ref=sr_1_12?dchild=1&keywords=RAM&qid=1625129169&sr=8-12
TEAMGROUP T-Force Xtreem ARGB 3600MHz CL18 64GB (2x32GB) PC4-28800 Dual Channel DDR4 DRAM Desktop Gaming Memory Ram (White) - TF13D464G3600HC18JDC01,$369.99,4.6 out of 5 stars,249,https://www.amazon.com/TEAMGROUP-T-Force-3600MHz-PC4-28800-Channel/dp/B08T15CYKH/ref=sr_1_13?dchild=1&keywords=RAM&qid=1625129169&sr=8-13
Corsair Vengeance RGB Pro 32GB (2x16GB) DDR4 3200 (PC4-25600) C16 Desktop Memory – Black,$194.99,4.8 out of 5 stars,550,https://www.amazon.com/CORSAIR-Vengeance-3200MHz-PC4-25600-CMW32GX4M2E3200C16/dp/B081XWLQKS/ref=sr_1_14?dchild=1&keywords=RAM&qid=1625129169&sr=8-14
TEAMGROUP Elite DDR3 16GB Kit (2 x 8GB) 1600MHz (PC3-12800) CL11 Unbuffered Non-ECC 1.5V UDIMM 240 Pin PC Computer Desktop Memory Module Ram Upgrade - TED316G1600C11DC01-16GB Kit (2 x 8GB),$61.99,4.7 out of 5 stars,"2,544",https://www.amazon.com/Team-Elite-1600Mhz-System-Memory/dp/B00FAY0S08/ref=sr_1_15?dchild=1&keywords=RAM&qid=1625129169&sr=8-15
Patriot Signature 8GB DIMM DDR3 CL11 PC3-12800 (1600MHz) PSD38G16002,$31.99,4.6 out of 5 stars,"1,167",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A09955563ESDO9P388127&url=%2FPatriot-Signature-PC3-12800-1600MHz-PSD38G16002%2Fdp%2FB007HILOWG%2Fref%3Dsr_1_16_sspa%3Fdchild%3D1%26keywords%3DRAM%26qid%3D1625129169%26sr%3D8-16-spons%26psc%3D1&qualifier=1625129169&id=1989669066751247&widgetName=sp_mtf
Corsair Vengeance RGB Pro SL 32GB (2x16GB) DDR4 3600 (PC4-28800) C18 1.35V Optimized for AMD Ryzen - Black (CMH32GX4M2Z3600C18),$223.99,4.6 out of 5 stars,34,https://www.amazon.com/Corsair-Vengeance-2x16GB-PC4-28800-Optimized/dp/B08SQC325S/ref=sr_1_17?dchild=1&keywords=RAM&qid=1625129169&sr=8-17
HyperX Fury RGB 16GB 3600MHz DDR4 Ram CL17 DIMM (Kit of 2) 1Rx8 RGB Desktop Memory Infared Sync Technology (HX436C17FB3AK2/16),$149.95,4.7 out of 5 stars,"4,477",https://www.amazon.com/HyperX-3600MHz-Technology-HX436C17FB3AK2-16/dp/B083Q1FG6C/ref=sr_1_18?dchild=1&keywords=RAM&qid=1625129169&sr=8-18
Mushkin SILVERLINE Series – DDR4 Desktop DRAM – 64GB (2x32GB) Memory Kit DIMM – 2666MHz (PC4-21300) CL-19 – 288-pin 1.2V RAM – Non-ECC – Dual-Channel – Stiletto V2 Silver Heatsink – (MSL4U266KF32GX2),$284.99,5.0 out of 5 stars,6,https://www.amazon.com/Mushkin-SILVERLINE-PC4-21300-Dual-Channel-MSL4U266KF32GX2/dp/B0861QMQWV/ref=sr_1_19?dchild=1&keywords=RAM&qid=1625129169&sr=8-19
Corsair Vengeance RGB Pro 32GB (2x16GB) DDR4 3200 (PC4-25600) C16 Desktop Memory – White (CMW32GX4M2E3200C16W),$189.99,4.9 out of 5 stars,"26,860",https://www.amazon.com/Corsair-Vengeance-2x16GB-PC4-25600-Desktop/dp/B08S9BLC36/ref=sr_1_20?dchild=1&keywords=RAM&qid=1625129169&sr=8-20
Patriot Signature Premium DDR4 16GB (2x8GB) 3200MHz (PC4-25600) UDIMM kit W/HEATSHIELD,$74.99,4.5 out of 5 stars,79,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A09910282JADXFS0N9NNR&url=%2FPatriot-Signature-Premium-PC4-25600-HEATSHIELD%2Fdp%2FB088M1YZX3%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3DRAM%26qid%3D1625129169%26sr%3D8-21-spons%26psc%3D1&qualifier=1625129169&id=1989669066751247&widgetName=sp_btf
LEVEN RGB 16GB KIT (8GBx2) DDR4-3200MHz PC4-25600 288-Pin U-DIMM CL16 XMP2.0 Overclocking Gaming RAM Desktop Memory Module- Black (JRG4U3200172408B-8Mx2),$82.99,5.0 out of 5 stars,5,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A04106372P4P6TSNWW72A&url=%2FLEVEN-DDR4-3200MHz-PC4-25600-Overclocking-JRG4U3200172408B-8Mx2%2Fdp%2FB08XMG49KV%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3DRAM%26qid%3D1625129169%26sr%3D8-22-spons%26psc%3D1&qualifier=1625129169&id=1989669066751247&widgetName=sp_btf
"10 inch Android Tablet PC, 4 GB RAM, 64 GB Storage, Octa -Core Processor, Android OS, 1280 x 800 IPS HD Display, Dual SIM Card Slots, Media Entertainment (Silver)",$89.99,,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A08554422SAJL8J7FDKFD&url=%2FAndroid-Storage-Processor-Display-Entertainment%2Fdp%2FB093BL7KP5%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3DRAM%26qid%3D1625129173%26sr%3D8-17-spons%26psc%3D1&qualifier=1625129173&id=6354997579434101&widgetName=sp_atf_next
"Tablet 8 inch - HYJOY Android 10 Tablets, 8"" IPS Full HD Touchscreen, 2GB RAM, 32GB Storage, Quad-Core Processor, Long Battery Life, Dual Camera, Wi-Fi, Bluetooth, Black",$85.99,4.6 out of 5 stars,6,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A10211061LEQFMEU9XTDJ&url=%2FTablet-inch-Touchscreen-Quad-Core-Processor%2Fdp%2FB094FL32RJ%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26keywords%3DRAM%26qid%3D1625129173%26sr%3D8-18-spons%26psc%3D1&qualifier=1625129173&id=6354997579434101&widgetName=sp_atf_next
TEAMGROUP Elite DDR4 16GB Kit (2 x 8GB) 2666MHz PC4-21300 CL19 Unbuffered Non-ECC 1.2V SODIMM 260-Pin Laptop Notebook PC Computer Memory Module Ram Upgrade - TED416G2666C19DC-S01-16GB Kit (2 x 8GB),$77.99,4.8 out of 5 stars,"1,666",https://www.amazon.com/TEAMGROUP-PC4-21300-Unbuffered-Notebook-Computer/dp/B07QMMZ79V/ref=sr_1_20?dchild=1&keywords=RAM&qid=1625129173&sr=8-20
Rams,$3.99,4.4 out of 5 stars,2016,https://www.amazon.com/Rams-Sigur%C3%B0ur-Sigurj%C3%B3nsson/dp/B085TDF58F/ref=sr_1_21?dchild=1&keywords=RAM&qid=1625129173&sr=8-21
Corsair Vengeance RGB Pro 32GB (4x8GB) DDR4 3600MHz C18 LED Desktop Memory - White,$249.99,4.8 out of 5 stars,"9,741",https://www.amazon.com/CORSAIR-Vengeance-3600MHz-Desktop-Memory/dp/B07D5SDT6M/ref=sr_1_22?dchild=1&keywords=RAM&qid=1625129173&sr=8-22
TEAMGROUP T-Force Zeus DDR4 SODIMM 32GB (2x16GB) 3200MHz (PC4-25600) 260 Pin CL16 Laptop Memory Module Ram - TTZD432G3200HC16FDC-S01,$159.99,4.6 out of 5 stars,251,https://www.amazon.com/TEAMGROUP-T-Force-Zeus-3200MHz-PC4-25600/dp/B08W224DXL/ref=sr_1_24?dchild=1&keywords=RAM&qid=1625129173&sr=8-24
Astra Gear 8GB(8GBx1) 2666MHz DDR4 Desktop Ram Memory Module U-DIMM CL19 System Upgrade(AHD19S8G26S),$37.88,4.7 out of 5 stars,205,https://www.amazon.com/2666MHz-Desktop-Memory-Upgrade-AHD19S8G26S/dp/B08S7GMHMK/ref=sr_1_25?dchild=1&keywords=RAM&qid=1625129173&sr=8-25
Rams,$4.99,4.7 out of 5 stars,2018,https://www.amazon.com/Rams-Dieter/dp/B07XX3YXF8/ref=sr_1_26?dchild=1&keywords=RAM&qid=1625129173&sr=8-26
Patriot Memory Signature DDR3 16GB (2 x 8GB CL11 PC3-12800 (1600MHz) DIMM Kit PSD316G1600KH,$65.99,4.7 out of 5 stars,962,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0996136Y1WV06W23AWY&url=%2FPatriot-Signature-PC3-12800-1600MHz-Heatshield%2Fdp%2FB007HZTD86%2Fref%3Dsr_1_27_sspa%3Fdchild%3D1%26keywords%3DRAM%26qid%3D1625129173%26sr%3D8-27-spons%26psc%3D1&qualifier=1625129173&id=6354997579434101&widgetName=sp_mtf
Patriot Signature Premium DDR4 8GB (2x4GB) 2400MHz (PC4-19200) UDIMM kit with Heatshield PSP48G2400KH1,$46.99,4.6 out of 5 stars,652,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A099013624L3855H6WMWO&url=%2FPatriot-Signature-PC4-19200-Heatshield-PSP48G2400KH1%2Fdp%2FB07Q8JTLYF%2Fref%3Dsr_1_28_sspa%3Fdchild%3D1%26keywords%3DRAM%26qid%3D1625129173%26sr%3D8-28-spons%26psc%3D1&qualifier=1625129173&id=6354997579434101&widgetName=sp_mtf
Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3200MHz C16 Desktop Memory Kit - Black (CMK16GX4M2B3200C16),$88.99,4.8 out of 5 stars,"59,671",https://www.amazon.com/Corsair-Vengeance-3200MHz-Desktop-Memory/dp/B0143UM4TC/ref=sr_1_29?dchild=1&keywords=RAM&qid=1625129173&sr=8-29
G.Skill RipJaws V Series 32GB (2 x 16GB) 288-Pin SDRAM DDR4 4000 (PC4-32000) CL18-22-22-42 1.40V Dual Channel Desktop Memory Model F4-4000C18D-32GVK,$189.98,4.8 out of 5 stars,15,https://www.amazon.com/G-Skill-RipJaws-PC4-32000-CL18-22-22-42-F4-4000C18D-32GVK/dp/B08TR1BQM3/ref=sr_1_30?dchild=1&keywords=RAM&qid=1625129173&sr=8-30
Patriot Viper Steel DDR4 8GB 3200MHz Performance Memory Module - PVS48G320C6,$41.99,4.7 out of 5 stars,"1,108",https://www.amazon.com/Patriot-3200MHz-Performance-Memory-Module/dp/B07N3XZ97B/ref=sr_1_31?dchild=1&keywords=RAM&qid=1625129173&sr=8-31
G.SKILL Trident Z Neo (for AMD Ryzen) Series 16GB (2 x 8GB) 288-Pin RGB DDR4 SDRAM 3600mhZ Desktop F4-3600C18D-16GTZN,$109.99,4.8 out of 5 stars,983,https://www.amazon.com/G-SKILL-Trident-288-Pin-3600mhZ-F4-3600C18D-16GTZN/dp/B07WGQZTKB/ref=sr_1_32?dchild=1&keywords=RAM&qid=1625129173&sr=8-32
Corsair Vengeance LPX 8GB (1x8GB) DDR4 3200 (PC4-25600) C16 Optimized for AMD Ryzen - Black,$51.99,4.8 out of 5 stars,86,https://www.amazon.com/Corsair-Vengeance-1x8GB-PC4-25600-Optimized/dp/B08D6LKYR5/ref=sr_1_33?dchild=1&keywords=RAM&qid=1625129173&sr=8-33
CORSAIR Vengeance RGB PRO 32GB (2x16GB) DDR4 3600 (PC4-28800) C18 Desktop Memory – Black,$189.99,4.7 out of 5 stars,435,https://www.amazon.com/CORSAIR-Vengeance-2x16GB-PC4-28800-Desktop/dp/B082DJ19CK/ref=sr_1_34?dchild=1&keywords=RAM&qid=1625129173&sr=8-34
Corsair Vengeance RGB Pro 16GB (2x8GB) DDR4 3600 (PC4-28800) C18 Desktop Memory – White,$119.99,4.9 out of 5 stars,"26,860",https://www.amazon.com/Corsair-Vengeance-PC4-28800-Desktop-Memory/dp/B085SNZQTJ/ref=sr_1_35?dchild=1&keywords=RAM&qid=1625129173&sr=8-35
Patriot Viper 4 Blackout Series DDR4 8GB (2 x 4GB) 3000MHz Kit,$45.99,4.6 out of 5 stars,"2,007",https://www.amazon.com/Patriot-Viper-Blackout-DDR4-3000MHz/dp/B07TVFBYPB/ref=sr_1_36?dchild=1&keywords=RAM&qid=1625129173&sr=8-36
LEVEN DDR4 8GB KIT (4GB×2) 2400MHz PC4-19200 CL17 Unbuffered Non-ECC 1.2V UDIMM 288 Pin PC Computer Desktop Memory Module Ram Upgrade- Lares(JR4UL2400172408-4Mx2),$40.99,4.4 out of 5 stars,464,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A063722713Q2K4ZL3OT2P&url=%2FLEVEN-PC4-19200-Unbuffered-Computer-JR4UL2400172408-4Mx2%2Fdp%2FB08M5XFB5T%2Fref%3Dsr_1_37_sspa%3Fdchild%3D1%26keywords%3DRAM%26qid%3D1625129173%26sr%3D8-37-spons%26psc%3D1&qualifier=1625129173&id=6354997579434101&widgetName=sp_btf
HTC Wildfire E1 Plus 32 GB Storage 3 GB RAM LTE Fingerprint Octa-Core Long Battery Life Smartphone,$139.00,,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A09049023VE1RADXAJQDG&url=%2FWildfire-Storage-Fingerprint-Octa-Core-Smartphone%2Fdp%2FB095B7QD1C%2Fref%3Dsr_1_38_sspa%3Fdchild%3D1%26keywords%3DRAM%26qid%3D1625129173%26sr%3D8-38-spons%26psc%3D1&qualifier=1625129173&id=6354997579434101&widgetName=sp_btf
